,Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,year_only,number_of_days
210,Michigan and Northeast Flooding (August 2014),Flooding,2014-08-11,2014-08-13,1330.9,2,2014,2
211,Rockies/Plains Severe Weather (September 2014),Severe Storm,2014-09-29,2014-10-02,1806.5,0,2014,3
212,Western Drought (2014),Drought,2014-01-01,2014-12-31,5176.8,0,2014,364
213,"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2015-02-14,2015-02-20,3880.2,30,2015,6
214,Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-07,2015-04-09,2022.1,2,2015,2
215,South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,2015-04-20,1669.1,0,2015,2
216,South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,2015-04-25,1227.2,3,2015,1
217,Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-06,2015-05-10,1640.9,4,2015,4
218,Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-23,2015-05-26,3275.4,31,2015,3
219,Central and Northeast Severe Weather (June 2015),Severe Storm,2015-06-21,2015-06-25,1511.8,1,2015,4
220,South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,2577.7,25,2015,4
221,Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,2015-11-30,3906.1,12,2015,182
222,Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-26,2015-12-29,2550.4,50,2015,3
223,Western Drought (2015),Drought,2015-01-01,2015-12-31,5850.6,0,2015,364
224,Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,1341.6,10,2016,2
225,Texas and Louisiana Flooding (March 2016),Flooding,2016-03-08,2016-03-12,2960.3,5,2016,4
226,Southern Severe Weather (March 2016),Severe Storm,2016-03-17,2016-03-18,1561.3,1,2016,1
227,North Texas Hail Storm (March 2016),Severe Storm,2016-03-23,2016-03-24,2663.6,0,2016,1
228,North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-10,2016-04-12,4478.2,0,2016,2
229,Houston Flooding (April 2016),Flooding,2016-04-17,2016-04-18,3478.8,8,2016,1
230,South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,3064.9,6,2016,6
231,Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-08,2016-05-11,2201.0,2,2016,3
232,Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-21,2016-05-26,1467.2,0,2016,5
233,West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016-06-22,2016-06-24,1259.6,23,2016,2
234,Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016-07-28,2016-07-30,1876.0,0,2016,2
235,Louisiana Flooding (August 2016),Flooding,2016-08-12,2016-08-15,13000.0,13,2016,3
236,Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,12700.0,49,2016,4
237,West/Northeast/Southeast Drought (2016),Drought,2016-01-01,2016-12-31,4476.6,0,2016,365
238,Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,3041.8,21,2016,213
239,Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,2017-01-22,1392.3,24,2017,2
240,California Flooding (February 2017),Flooding,2017-02-08,2017-02-22,1890.0,5,2017,14
241,Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,2275.7,6,2017,1
242,Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-06,2017-03-08,2741.8,2,2017,2
243,Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,1260.0,0,2017,2
244,South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,3395.7,0,2017,2
245,Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,1229.8,1,2017,2
246,South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,1125.2,0,2017,2
247,Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2017-05-07,2090.3,20,2017,12
248,Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,2017-05-11,4187.5,0,2017,3
249,North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-15,2017-05-18,1176.5,1,2017,3
250,Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-09,2017-06-11,2937.5,0,2017,2
251,Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,2017-06-16,1886.5,0,2017,4
252,Midwest Severe Weather (June 2017),Severe Storm,2017-06-27,2017-06-29,1781.3,0,2017,2
